text,category,sentiment,length_bucket
after moving to guam i cannot find any decent audio store on this island high-end audio store is out of the picture here i decided to switch to computer-based music system and a pair of good headphone fortunately i am not addicted to high-end hype by doing some homework i found a very decently priced 34 audirvana plus 34 for aiff playback however i still need a pair of decent headphone to complete my macbookpro audirvana plus music playback 34 system 34 please believe me you do not want to have too much stuff in your apartment house on this island otherwise you may find them 34 all gone 34 when you go home that is why i target on a pair of headphone less than 100 again going on the internet doing some google search i found this sony mdr-v6 ok the following is my 1 week impression on mdr-v6 1 fresh out of the box it sounds a bit harsh and i felt sound fatigue after about 30 minutes of continuous listening but this is not the 34 problem 34 at all 2 i ran in this headphone by playing music into it continuously for 3 days and the sound is much better now i am expecting it will keep improving after about 1 to 3 month s to have both drivers settled will update about this part later 3 the sound of this headphone is like what they are designed for almost no coloration before writing this review i saw two extreme ends of reviews most people were using this pair of headphone for years and some reviews are cursing sony mdr-v6 the story may very likely be that sony has discontinued this headphone in japan and the replaced model is mdr-cd900st v6 was the cd600st in japan all v6's are actually 34 imported 34 sony actually moved the original production line of v6 to china and later to thailand since i only own this headphone for one week i really are not in the position to judge the qa of v6 mine v6 is printed 34 made in thailand 34 on the box maybe few years later if i still remember this review i could provide more info about how long does mine v6 live,electronics,2,2
dr bronner's needs very little introduction as his entire life mission is on the side of the bottle it is good stuff it works well i use it every day all i can say is yum,sports,2,1
cheap earphones usually feature a dramatic drop in quality these earphones are decent though while they cannot quite compare to the more expensive ones you certainly are getting a solid product for the price you're paying i am satisfied by how the comfort level and sound quality featured by these headphones in accordance to how much i paid i'll definitely buy another pair or two when i have the chance,electronics,2,2
my hair is thick not pin-straight but close i'm caucasian 38 when using hot curling iron it takes me about 8 minutes to create some waves that last a couple hours these caruso curlers might also take me about 8 min to put all in i'm new with it too then i can finish getting kids ready etc come back the cold shot with dryer makes a difference and the curls even with jumbo are amazingly bouncy shiny it absolutely relaxes to a nice body look which i spray and its better than curling iron gives that holds for several hours but by end of day its all but a memory forget the days claim even when i put gel in first that didn't happen now after using them about 5 times the clips seem to slip off easier causing great frustration it does require distilled water which the csr told me - the website box do not mine came without instructions or styling guide which 2 weeks later i'm still waiting for its arrival from the company disappointed with these issues but i do like the change from hot iron and the curls are beautiful so i still gave 3 stars my hair dresser thought they had a good reputation,beauty,1,2
the target is what i was looking for they are standard target and therefore there is very little to add,sports,2,0
kodak dc290 is fine for medium long range subjects however because the viewfinder and the lens are off-center you invariably get off-center results - unless you use the lcd as your main viewfinder this eats battery life and the display resolution makes it hard to make critical shot decisions however the image quality is quite excellent for most outdoor lighted conditions the interaction and placement of the controls are quite good there are a few key rubber finger and grip affordances to make the shooter feel in control the only cheap part is the zoom lever it's a small horizontal lever that has to be kicked way over to one side or the other and the time delay to lens movement is sluggish the overall construction of the entire body and finish is very nice there's plenty of standard features like burst time-lapse etc to keep most digital camera enthusiasts happy a real nice package bonus was the 4 aa nimh rechargeable batteries and charger 16mb storage card at least kodak was thinking about the entire user experience oh the pc software interface is rather silly the childlike icons and metaphors for album creation etc makes you create a parallel cognitive hierarchy model for what is essentially folders files on your computer something more straight forward with clear icons and interface is all we want use the quick access download near the clock once you've installed the software,electronics,2,2
it does simplify packing but needs a layer of protection to keep it from wearing holes during travel it is plastic so you must cool the griddle before inserting it into the sleeve it is not water proof so griddle can rust inside i would still buy it but am looking into making my own canvas carriers for better durability,sports,0,1
i love now products and lemon oil is a stable in my house because we just love the smell and it has multiple uses,beauty,2,1
i don't like spending a lot of money and i don't like going to get my hair done over the years i try to save money by buying the cheaper boxes but my hair never turns out the way i want it to when i use feria it comes out exactly how i want it each time i also love that it's pretty much the only box that gives out true highlights it's amazing other plus about feria is that it comes with a lot of actual product meaning if you have long hair you only need to buy one box in the end it's just better to spend a couple more dollars to make yourself look great i've never had a problem with any feria hair colors i love it,beauty,2,2
very bright and you won't miss seeing where you hit with these the grid and multiple targets mean you can pretty much sight in your new scope without having to switch targets,sports,2,1
after using multiple cheaper lower quality yoga mats i am 100 sure that this mat is worth the money i ordered the jillian michael's body revolution from amazon a while ago with the extra thick hemingweigh mat the hemingweigh was great for the first couple weeks as the program was pretty low impact and not a lot of moving around once i got further into it the hemingweigh would stretch and contract slide around my floor during the more intense plyometrics this annoyed me to the point where i had to research and buy another and that was the manduka pro 71-inch i put this on my wood floor and it will not budge during the most intense workouts i've done the manduka pro is on the thinner side but it is designed in a way that makes it just as comfortable on my knees and hands as a thicker less stable mat i am about 5' 7 34 and the 71 inch version is perfect for me i have room to perform exercises on my back or stomach without having to worry about hitting the floor the 85 inch version would probably be necessary for people 6' or taller if i had to guess overall i love this mat and even though it was significantly more expensive than any other mat i found it was well worth it and it will last me a long time feel free to leave questions and i will answer them promptly,sports,2,2
excellent price for an excellent product can't ask for more than that superb craftmanship in a product designed to endure a lot of abuse,sports,2,1
i have seen the bad reviews do i believe them yes there probably are vacuum flask bottles that did not work for what reason i do not know but just like buying a car sometimes you get a lemon quality control should be better at the factory i suppose they just do not have the resources to fill every bottle with hot water then see if the bottle actually kept the water hot for 24 hours they should though these days most products get a visual inspection at best but not every item is defective i've had no complaints with mine from working double shifts to long road trips my bottle has kept my coffee hot for my personal use my beverages go into the bottle at a boiling hot temperature i will add boiling water to my bottle with a couple of teabags and my tea will stay hot for well over 24 hours i brew my coffee with a percolater on top of an induction cooktop sometimes i like to add boiling hot water into a french press boiling hot liquid going in stays hot for a very long time if you are using an electric drip coffee pot like a mr coffee then you didn't start off with very hot coffee to begin with the boiling point of water is 100 c 212 f coffee shops typically keep retail coffee at or about 82 c 180 f an inexpensive home drip coffee maker will be even lower in temperature which usually results in a poor cup of coffee does that make any sense,sports,2,2
it seems to work fine if you're having issues with your vcr playback and recording quality this is the answer,electronics,2,0
this product seems to be doing its job my skin is soft and smooth and feels great however the downside would be the smell of this product it's not horrible just unpleasant the offensive odor doesn't linger overly long it's mostly gone within 15-30 minutes but it really takes away from the enjoyment of this product i also purchased the alpha hydrox night replenishing cream which has almost no odor at all,beauty,0,2
i was lucky enough to use this over a period of a few weeks while at my mother's house it does not provide an aerobic workout compared to a treadmill or an elliptical there is very little resistance it is squeeky the movements are jerky compared to an elliptical it take sup a lot of space i found no value to it since it didn't get my heart rate up it wasn't working any muscles and it didn't provide a core work out not sure what the purpose would be i am not a very aerobically fit person and can easily work up a sweat on other equipment within a few minutes so not getting an aerobic workout here really says a lot so i don't even think that this is a good machine for beginners on the positive side all of the grandchildren love to swing on it and play on it that probably isn't a positive for my mother though the kids think it is fun,sports,0,2
i have a very nice set of stereo headphones which for reasons i cannot understand does not include an in-line volume control i purchased the koss vc20 to insert in the playback circuit when i needed an in-line volume control the device works perfectly just as it is supposed to the only minor drawback is that the notched wheel with which you change the volume setting is rather small and quite sensitive - only a potential disadvantage for folks with large fingers overall i'm totally satisfied with this product,electronics,2,2
i've used my hub for various applications - cable modem splitting from a router and simple pc-pc gaming this hub is perfectly utilitarian for getting the data back and forth with high reliability and unparalleled speed no problems auto-sensing in either situations over several months of use though it does say 5 ports - if you use this as an uplink from the router you'll obviously only get 4 output ports this is not the case with the gaming issue though the only minor complaint is the ac resistor power cable the ac adapter plug is rather easy to yank out of the backside - especially if you are moving cables frequently other than that it's worth every cent for high speed fun and efficiency,electronics,2,2
this is a good product to help your nails grow out healthy i usually put on two coats and then once a week take it all off and start over again my nails were splitting and weak this product seems to have strengthened them,beauty,2,1
the schwinn thrasher thrashed my cool image but the truth is any helmet would have done the same thing this is a value-priced helmet to be sure it's not fancy high-quality or good-looking but it does what it's supposed to do protect your melon there are a couple drawbacks that i'm sure are related to the price first the visor cheap it pops off if you touch it it exists more for asthetics than for function still it should stay on shouldn't it also the chinstrap comes undone very easily i have to wear it very loose so it stays clasped one other drawback is that this thing is tall i mean really tall other helmets i've seen don't add so much height that i have to duck under overpasses not sure why this is so tall the positives are obvious the quality except for the visor and the chinstrap are reasonable for the cost and it will prevent your brains from being ultimately hosed off the street worth the cost recommended,sports,2,2
i've been using the brother label printers for many years now these are pretty good and of course you need tape for it to work i'm happy with this purchase,electronics,2,1
i had a printer i needed to connect to and this was great for doing that and the price was great for what i needed it for,electronics,2,1
my sister recommended a clarifying shampoo and this one had great reviews i learned for myself after just one use the reviews were spot on this shampoo lathers very well and cleans oil and build up really quickly even if i haven't washed my hair in a week i highly recommend this is followed by a good conditioner since it really strips all the oils out of your hair,beauty,2,2
i am a natural girl and i loveee using this on my wet hair to detangle and smooth out my ends i would of course never use it on dry or even lightly dampened curly curly hair but it does wonders and really allows each curl to be defined and curled it's sturdy and feels like it will never break ever cons the denman gold lettering has began to smudge off i liked that little added decoration haha,beauty,2,2
i love the smell and this is a light shampoo it is easy on the scalp and gentle i have no complaints,beauty,2,1
i bought this because i want a way to keep my 590a1 loaded while on the move i keep mine loaded with 00 buck and slugs for emergency it was pretty hard to load the first time because the loops are so tight id use this belt for 20 gauge shells too but this means the shells are very snug and i can confidently move about and know nothing is going to fall out grab 2 or 3 and keep them loaded up in a back pack that way you can carry large amounts of ammo but with fast access great buy waay worth the money even if your going to use it for skeet side note expect friends to make swat and rambo jokes,sports,2,2
i have to assume that the lip-synch problem referred to inearlier reviews must have been taken care of because i haven'tencountered the slightest problem the video quality is simply astonishing - i won my wife over by doing a direct comparison with the laserdisc and dvd versions of quot gone with the wind quot - she is 100 sold now there's enough flexibility that you can upgrade to a component-video-capable tv if you don't have one now i'm using the s-video output and that blows me away the remote has excellent human factors engineering - i have no trouble using it in a dimly-lit room for the usual functions pause slow forward backwards fast etc plus some handy features like quot how much time is left on the movie quot menu access is simple and intuitive too - no teeny-tiny pixie-sized buttons to feel around for full 5 1 outputs and dts dolby digital if you can use them and a host of options for the two-three speaker folks really this has everything you could ask for in a player in this price range - i don't know who selected the toshiba as amazon's pick but this is really the one you want,electronics,2,2
good buy great price a definite must to keep the camera still for those 34 moon shots 34 with a longer exposure,electronics,2,1
ok this used to be the best brand everytime i find a color that is not too red they change up the formula and ruin my hair your after color crap is horrific it turns hair black and leaves a disgusting cheap tint no one wants that stuff secondly some instructions will say to dampen hair others say to apply to dry hair confusing the customer someone at bi should be fired for constantly playing with the product ruining millions of womens hair int he process when you have a good thing leave it alone 34 new and improved 34 my ass,beauty,0,2
it's a 3 foot cat 5 cable that lets my router talk to my switch no complaints well i have one it doesn't clean or cook dinner,electronics,2,1
i like clean clear but i've never noticed any big changes from using this line the cleanser is nice and tingly a little not much and feels good but it's not anything terribly special i have used it consistently only for a period of time and then stopped i wanted to do the review and give it an honest rating and i'm afraid it didn't do what i was hoping it would do for me,beauty,1,2
this is simply the best hand lotion i have ever used i love that it isn't greasy and i can actually see the difference in my hands when used a few times a week the scent is not overpowering either i have paid a lot more for a jar of hand lotion but i have never had these results i have a smaller size tube in my purse at all times too this makes a great gift and i have converted a lot of new customers for this product i highly recommend it,beauty,2,2
i used these film to test my newly acquired vintage camera and i was satisfied for the result the color is okay as the fuji films are noted for superb color,electronics,1,1
i use this on my canon rebel t1i it is great for that far away shot you cant go wrong and at 99 00 dollars a great deal,electronics,2,1
its ok would buy again love the smell i just won't pay alot for it can buy over the counter that does just as well don't shave your legs than use it though irritation,beauty,2,1
the silver shatter is a good decoration to nails but it doesn't shatter well i have used this twice and it just looks like silver polish over the base color maybe it's because i put it on too thin the black shatter is so much better than the silver one maybe i will use a thicker coat hopefully that works,beauty,1,1
sent to my daughter in ny who has well water as a hair dresser for 32 years i knew with the ing that it would be gentle enough to remove deposits yet now have affect on color will be needing more i'm sure,beauty,2,1
if you're like me you saw this discontinued sangean and thought 34 cool it's just like sangean's tiny dt110 plus weather band and a speaker want want want 34 then i patiently waited until i found one in new condition here's the problem with this radio standby time is about 10 days without using it at all and it's completely dead just sitting there running the clock will kill batteries i had a similar sony without speaker which i left in a closet for more than a year and the battery was still working i notice that a couple people report short battery life with the newer dt110 as well maybe these things are ok if you use it every day and don't mind changing batteries constantly but don't use too much effort obtaining one,electronics,0,2
this is a good headset at a very reasonable price not the most comfortable fit but still a good bargain,electronics,1,0
i've had a conair facial sauna for years and it was still working fine when i lost misplced it so i had to try another conair well this is perfect even better than the first one i got why it's got that safety timer it tells you when it's ready it comes with two cones to choose from plus it comes with this free exfoliating brush and sponge so nice i used it last night and now my skin's glowing beautifully like it got a polishing it's a nice way to pamper yourself great price too,beauty,2,2
this is my favorite deodorant because it is clear i have noticed no stains dries quickly and doesn't interfere with the breathing of people who are sensitive to fragrance or annoy people who simply don't like fragrance i like the fact that the packaging is clear too so i can see how soon i need to replace it it is one of the few toiletries i take through airport checkpoint security,beauty,2,2
the headphones are great however a few issues that i had 1st pair left speaker phone in-operative after 3 weeks use 2nd pair left speaker in-operative after 4 weeks of normal use only other comment not complaint the comfort zone adjustment defaults automatically to firm and will not stay on the light adjustment great speakers poor design and manufacturing companies like koss do not like constructive input but i'll give them another try after all i live in moog-ville nc aka bob moog god bless r i p aka asheville nc former home to bob moog and current home to the moog museum and moog-fest and of course asheville nc music capital of the carolinas peace love and joy btw amazon has been wonderful to deal with regarding my returns and replacements that's why i continually shop amazon not walsmart or k-art or targot or bust buy shop amazon,electronics,0,2
i purchased this lens with my minimalist budget in mind and i must say that for the money it isn't too bad it lacks a fancy focus motor i e usm which makes it a bit slow and noisy but you can't find a more inexpensive long distance telephoto lens it is perfect for the amateur photographer without a lot of money,electronics,2,2
this thing works great it get the barrel clean in hurry i only give it 4 stars because the weight on the end of the string come off the first time i used it it still works fine but i was a little annoyed that it broke so easy,sports,2,1
i bought this neutrogena hair mask and the daily deep conditioner--this did absolutely nothing to my hair i might be exaggerating a little but if felt like i put it in and after keeping it in for a couple of hours it just came right out when i used the daily deep conditioner i put it in and then washed it out after the remainder of my shower which was like 10 min huge difference,beauty,1,2
this remote works great with or without mirror lockup enabled on my canon xsi highly recommended the only thing is that it doesn't work both ends of the mirror lockup process but instead is on an automated timer - so you can't decide when to have the shutter actually trigger - at least i have not determined how to do this as of yet if the exact time the shutter release were to be crucial,electronics,2,2
tamrac's 5606 camera bag is well constructed sturdy and versatile and is suitable for use with either film or digital slr cameras it is a mid-sized bag designed to carry up to two camera bodies the crucial issue with this type of bag is whether it has adequate space to carry exactly what you need including lenses and larger accessories like flash units and battery packs check tamrac's website and look at the diagrams showing the interior compartments of the bag and how components may be stored and judge if there's enough space for the particular gear you have the interior of the bag can be divided into up to six smaller compartments the layout is designed to accept a body with a zoom lens up to around 8 inches in length attached while a camera with a long lens will fit in the bag you'll have arrange things carefully if you want to carry too much else also this setup does not work well if you have a battery grip attached one solution is to store the camera and grip with no lens attached doing this there is more than adequate space for the body and three or four lens and a flash unit stored vertically a long lens can be accommodated with no problem carrying your gear this way you're not immediately prepared to shoot as you must take a few moments to assemble the camera though the bag is really better suited to accommodating the gear to fully outfit one camera in a pinch the 5606 can accommodate two camera bodies even with battery packs but that will leave just about a third of the available space for lenses and a flash there is a zippered fold down compartment with pockets in the front it would be nice if the pockets had some kind of fasteners pouches with velco fasteners are on the side of the bag velcro is an extremely poor design choice one should not risk putting valuable or heavy items into these pouches they could easily be lost or fall out and be broken should the fasteners fail to hold this wasted storage space is the bag's major flaw some type of modification would be required to make them truly useful the 5606 has an excellent heavy duty carrying strap and also has straps at the base for carrying a tripod a semi useful feature is a wallet for carrying digital media and other small accessories the wallet is attached to the bag with an elastic strip and sides into a compartment on the side of the bag the padding in bottom and sides could stand to be a bit thicker but that can be said of most bags as with any camera bag it's ultimate usefulness depends on the user and the particular gear to be carried the 5606 isn't quite perfect in all situations but it is adaptable enough to be useful most of the time available in several colors,electronics,2,2
i had been using a flat iron that i purchased several years ago to straighten my hair only occasionally it worked okay but when i decided that i wanted to straighten my hair more regularly i thought an upgrade might help me do the job more quickly i did a lot of research on flat irons and eventually settled on this one i have been using this product for about two weeks now and i absolutely love it i am still shocked by how much more quickly and easily i can straighten my hair the iron heats up and cools down quickly it doesn't pull my hair most importantly i see great results every time i use it highly recommended,beauty,2,2
i simply love this whole fragrance line it's one of my favorites i layer with this starting with the shower gel then the body lotion then the perfume i get many many compliments on it it has a clean just showered fragrance that lasts all day,beauty,2,1
this knife is really razor sharp i've never seen a knife with such an edge unfortunately i couldn't test is on edge holding since i lost it while i was drunk on a party now buying another one construction of the knife was very solid and it could cut almost everything i tried it on i didn't test it on metals though,sports,2,2
a gi model 1911 with wooden grips is a little plain jane i didn't want to go crazy definitely not tactical on the grips so this was perfect just enough to make it look like the modern weapon it is i also think it feels better when in action too,sports,2,1
i live in a climate where humidity of 10 or less is not uncommon the skin really suffers but using this product has put an end to the dryness on my face i faithfully use it daily sometimes both morning and night and it makes my skin feel hydrated plump and velvety i have been using it for many years and it has kept my skin looking fresh and not aging like i am sure it would if i hadn't used it i have even taken some to my mother-in-law in england and she loved it too you will not be disappointed with this regenerating serum--it is the best thing you can buy without a prescription,beauty,2,2
i have a lot of thick long hair which does not like to stay curled this has been the first inexpensive curling iron to work on my hair it gives me neat sprial curls from top to bottom i've read some of the other comments regarding a dent that the iron can leave i've never gotten the dent maybe its the way they position the iron i also recommend using salon grafix's freezing hairspray if you have difficulty getting your hair to hold a curl this has been the only hairspray that holds my hair the iron heats up quick it also has the turbo heat option which allows it to heat up in a minute i would recommend this iron for anyone,beauty,2,2
i have been using for about a month and i do like it the only downside would be feeling a slight dryness after using it but i still like the product,beauty,2,1
this volume control is just what i needed to control the volume for headphones i own without a volumecontrol the control is simple and the volume changing is continuous and smooth,electronics,2,1
i agree with some of the other reviewers the strap adjustment is not foolproof once it becomes undone not easy to figure out how to rethread unless you are a mountaineer or former scout how about posting illustrated instructions on the internet the tension and the webbed texture hold the belt to the buckle but when the belt is undone and is not on you it's too easy for the belt to become undone from the belt should have added velcro or something otherwise great size radio wallet blackberry and keys all fit in there and nice idea to have mini pocket made in usa which is increasingly rare and nice does not bounce around the profile is so low that it looks ok when my tee shirt covers the belt,sports,2,2
this little tool is quite handy provided the user understands its limitations obviously the awl is not made to bore through 2 inch thick hardwood the knife is not made to be used as a weapon or even as a replacement for a heavy duty full tang knife the tools are small convenient and quite tough for what they are made of thin stainless steel and zytel a durable plastic the little knife was shaving sharp when i first received the product but after a few cut tests on various plastics papers and cardboard it has dulled off a little it still has an impressive edge though it is probably the sharpest 2 inch blade i have seen out of the box the small bottle opener awl screwdriver attachment is neat to look at but it seems rather limited in its uses the awl is quite well constructed albeit a bit on the small side but that is to be expected from a miniature multi-tool the bottle opener seems handy but i have never had any use for them and the screwdriver is an odd size a bit larger or smaller than most screws i encounter on a daily basis the magnifying lens works brilliantly no complaints there except maybe that it is made out of plastic the toothpick fits a little too snugly in the frame the first time i pulled it out it flew clear across the room conversely the tweezers immediately adjacent to the toothpick does not fit tightly enough they both stood up to a vigorous shake test though so i guess that the tweezers will not fall out during routine daily activity the tweezers and toothpick are both made of plastic though if they were metal they would be infinitely more useful the mini compass is about as good as all other mini compasses i wouldn't rely on it too heavily unless it is a last resort summary - great little 2 inch blade - average quality tweezers and toothpick - good quality awl bottle opener screwdriver limited usability - good magnification poor construction magnifying glass - solid zytel construction quite durable - compass is equivalent to a dollar store key chain compass overall great product a few minor flaws but for the price it is quite handy and durable,sports,2,2
i have boresnakes for nearly all of my guns and absolutely love them haven't bought one for my muzzleloader yet they get so filthy i may stick with patches for all my regular rifles shotguns and handguns they work great some basic recommendations though be sure to pull them from the chamber to the tip of the barrel so you don't deposit the gunk in the firing mechanism you also need to be careful needing them in until the bristles are inside the barrel so you don't scour and damage the outside finish i have a friend that sprays rem oil on the boresnake so it can clean and lube at the same time it works very well but i don't care for the overspray that gets on the table nor do i want the mess to carry around in the field if i thought ahead to take a baggie or was at home where i could wash it out it wouldn't be bad these are excellent products,sports,2,2
these snap caps are excellent they are the same oal as factory loaded ammo they function well in my p-64 and my cz-82 now i can dry fire my pistols chambered in 9mm makarov without any ill effects they work perfectly for getting a feel for the triggers on my guns overall they serve their purpose very well and i am very happy with them,sports,2,2
not your cheapo plastic ones cycle well seem to be holding up as well a great product don't go cheap,sports,2,0
the first thickening shampoo that works on my fine hair i have tried all the expensive brands and this one is the best by far,beauty,2,1
the canon eye cup eb is an exact replacement for the eye cup on my canon rebel eos t2i i've stopped using the neck strap that comes with the camera this is because the camera bounces around when attached to the strap this is how i lost the rubber portion of the eye cup now i use a hand strap i like it better it fits easily gives me a really solid hold on the camera even with my battery hand grip attached now i appear less conspicuous without the strap and the camera bouncing around in front of me this helps me get more candid shots in public before i'm noticed,electronics,2,2
product works ok but the tiny wheel volume control is difficult to turn i have to use my finger nail to really turn it other than that i am happy with it not really a professional volume controller but it does the job what do you want for such a cheap price,electronics,1,1
so you've got a palm and you consider yourself a decent graffiti artist a whiz with the stylus not if you're still using the cheap all-plastic stylus that likely came with your palm these replacements a set of three have slightly heavier metal barrels that are easier to grip and feel more like a real pen in your hand making tapping and writing dramatically easier and more comfortable the hidden bonus of a reset pin inside the screw-top of each of these means you never have to carry a paperclip for the occasional soft reset and the horror of the hard reset again it's a stylus you might take for granted until you are forced to go back to the plastic one as i found when i left one at the office gave one to my girlfriend and lost the one i had in my case argh you'll never willingly go back to the all-plastic stylus again the price is right so buy one buy two buy one for the dog not really don't tap without it,electronics,2,2
i have never tried henna before but by all accounts this is definitely not real henna as a reviewer said above it did not stain anything at all the instructions on the box are poor which implies to me that these people are not real henna sellers says mix with cold water-- no measurements at all-- whereas other better henna products tell you to use a specific measure of warm tea water i used the tea water anyway left this on for two hours and when i was done spent twenty minutes washing all the dirt and rocks and sediment that was left in my hair this stuff sucks and the colora company should be embarrassed to sell such a mockery of a product my hair was not in any better condition than when i started,beauty,0,2
this isn't anything like the bath and body work's sensual amber fragrance so don't expect it to be this is a very potent natural amber butter and a little tiny bit goes a long way great for both men and woman im a woman and i prefer bolder scents so a little bit of this rubbed on the inside of my wrist was perfect i also like to mix it with the auric blends eygptian goddess or another one of my perfume oils etc if you love natural scents you will probably enjoy this one it comes in a small carved wooden container and inside is a small amount of the amber butter remember you only need to apply a small amount if it's too strong for you at first let it melt into your skin for a little while and then it'll be fine you don't want this to be overly strong just enough to mix with your natural chemistry it's sensual spicy and unique try it,beauty,2,2
i loved this henna dye it is awesome i'm pregnant and wanted to darken my hair but didn't want to use a dye with harsh chemicals like ammonia and such this stuff was perfect it barely had a smell at all i loved the color i used the dark brown and i had dark blonde hair before the color came out beautiful it made my hair dark brown with awesome highlights it wasn't just a flat dark color that some hair dyes leave you with i highly recommend this product,beauty,2,2
lets see what can i say about this well the price isn't much more different than at your local gun store but other than price it works really well,sports,2,1
this large roll of duct tape is super duty strength it's thick and meant to hold stronger than cheaper kinds this isn't just for packing cardboard boxes although it works great for that if that's your intended use you can use this for all kinds of projects including taping up the handles of old tools taping up the seams of cases to help make them waterproof and also for taping up windows and other glass panes to help prevent them from shattering everywhere should they break during transport or in a storm duct tape is one of those all-purpose tools and this 3m heavy duty tape is seriously strong it's thick yet tears well it doesn't leave any stringy threads on the ends like some other types of duct tape it tears cleanly and sticks smoothly where it's stuck to great quality tape,sports,2,2
i received my zip drive about four years ago when i began developing powerpoints that exceeded 23 megs it was a great storage medium at the time and the portability of the drive was very helpful i then bought a cd-rw two years ago and haven't touched my zip drive since the cd-rw drives give you all the storage flexibility of the zip drives but they store more data unless you purchase the 2 gig zip drive they're cheaper and more portable and can work across platforms i can backup my files on a cd and copy them onto another computer i can create discs of my mp3 files to play back on this or other computers in the end it simply is easier to burn a cd and use it on another computer for example - some time ago i helped a friend of mine put together a presentation on a medical case he had with all the digitized pictures and cat scans the power point and graphic files exceed several megs - too many for a floppy i could have given him a zip disk and my zip drive but he would have had to connect the drive to his computer install the software and then copy the files over instead i burned him a cd with the powerpoint and all supporting files he simply placed it into the presentation computer and was using it 30 seconds later it doesn't get much easier than that zip drives are seing the end of their days i would suggest looking at the zip cd's and the cd-rw if you're considering purchasing a zip drive,electronics,0,2
if its wire i perfer belkin in my opinion its a quality cord this cord is being used on a monitor and i like the way it lays it doesn't have a mind of its own it stays where you put it,electronics,1,1
i use this on my scalp everyday lightly and i have seen growth my hair is growing fast with this oil and its thick so it lasts a very long time it doesn't smell great but it doesn't stink either it made my hair thicker and longer and its a great price for that size,beauty,2,1
glad this is available and at a decent price so many cables are overpriced just because the seller can get more for it,electronics,2,1
used it as directed on a polkaudio cd player and it did not improve the machine cannot say for sure that the product didn't work or the machine is just broken machine started to not recognize certain cds that it played before using the cleaner did not improve the machines performance,electronics,1,1
